"","var","species_id","citation_id","site_id","treatment","trait_id","var_id"
"1",15.31087462,227,1000000070,1000000232,2000000012,NA,15
"2",15.31087462,227,1000000113,1000000232,2000000012,NA,15
"3",3.91,1000004882,1000000114,1000025739,2000000012,NA,15
"4",7.38,50498,1000000114,1000025739,2000000012,NA,15
"5",15.8,1000001544,1000000069,1000025739,2000000012,NA,15
"6",15.2,1000001544,1000000069,1000025739,2000000012,NA,15
"7",10.2,1000001544,1000000069,1000025739,2000000012,NA,15
"8",11.7,1000001544,1000000069,1000025739,2000000012,NA,15
"9",14.9,10238,1000000069,1000025739,2000000012,NA,15
"10",17.4,10238,1000000069,1000025739,2000000012,NA,15
"11",14.5,10238,1000000069,1000025739,2000000012,NA,15
"12",10.8,10238,1000000069,1000025739,2000000012,NA,15
"13",8.1,50687,1000000069,1000025739,2000000012,NA,15
"14",10.5,50687,1000000069,1000025739,2000000012,NA,15
"15",7.5,50687,1000000069,1000025739,2000000012,NA,15
"16",7.64,50687,1000000069,1000025739,2000000012,NA,15
"17",7.9,1000012111,1000000069,1000025739,2000000012,NA,15
"18",6,1000012111,1000000069,1000025739,2000000012,NA,15
"19",5.7,1000012111,1000000069,1000025739,2000000012,NA,15
"20",5.8,1000020872,1000000069,1000025739,2000000012,NA,15
"21",5.4,1000020872,1000000069,1000025739,2000000012,NA,15
"22",2.9,1000020872,1000000069,1000025739,2000000012,NA,15
"23",3.76,1000020872,1000000069,1000025739,2000000012,NA,15
"24",4.897788194,50498,1000000115,1000025739,2000000012,NA,15
"25",11.04,1000020916,1000000118,1000026724,2000000012,NA,15
"26",13.29,1000020927,1000000118,1000026724,2000000012,NA,15
"27",12.5,1000020895,1000000118,1000026724,2000000012,NA,15
"28",12.08,1000020942,1000000118,1000026724,2000000012,NA,15
"29",9.44,1000020905,1000000119,1000026727,2000000012,NA,15
"30",13.44,1000020911,1000000119,1000026727,2000000012,NA,15
"31",16.5,1000020890,1000000119,1000026727,2000000012,NA,15
"32",11.61,1000020889,1000000119,1000026727,2000000012,NA,15
"33",10.13067281,380,1000000027,1000025740,2000000012,NA,15
"34",11.44952373,380,1000000027,1000005005,2000000012,NA,15
"35",11.62621607,380,1000000027,1000000013,2000000012,NA,15
"36",13.69162853,1000003422,1000000027,1000000013,2000000012,NA,15
"37",32.62398287,1000020891,1000000027,1000025740,2000000012,NA,15
"38",17.85176439,1000003442,1000000027,1000005005,2000000012,NA,15
"39",17.82559317,1000003446,1000000027,1000000013,2000000012,NA,15
"40",7.565508966,1000003459,1000000027,1000025740,2000000012,NA,15
"41",11.03015463,1000003460,1000000027,1000005005,2000000012,NA,15
"42",8.47,49943,1000000071,2000000002,2000000012,NA,15
